name,folder,project_id,file_id,url
TSO22016_11_211454_HD200_UP11_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPGyj0XXvYjJ6KGZKQ003j,https://dl.dnanex.us/F/D/y44pqV1Bg8B2X2pFX4pb09zV464Vq456QGq1Y9vy/TSO22016_11_211454_HD200_UP11_Pan4963.gene_level.txt
TSO22016_07_220952_2212772_UP07_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPGK80863x3pJJ4XbjjbQf,https://dl.dnanex.us/F/D/kZQ68vfbBvgxpY9G84qFF9fgxQZyqJpkJbg8JpJJ/TSO22016_07_220952_2212772_UP07_Pan4963.gene_level.txt
TSO22016_09_220959_2212802_UP09_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPGFj0Fz5bp67G4j6gpV2B,https://dl.dnanex.us/F/D/1yBGfkV3X4ZyXZJ4xQ7Zz5f00v5kk02KjFY81K1b/TSO22016_09_220959_2212802_UP09_Pan4963.gene_level.txt
TSO22016_10_220960_2212803_UP10_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPG800vFBvKzgYFZqvJvP9,https://dl.dnanex.us/F/D/Fq268fP20K7ZjYBjvPf35VGfvFxqV16pKBvpFzX6/TSO22016_10_220960_2212803_UP10_Pan4963.gene_level.txt
TSO22016_08_220958_2212801_UP08_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPG5j059ppzx8P68YxX9k0,https://dl.dnanex.us/F/D/8VVKQpXK44x1Vyz79P1FypzJ5J1k82q8Z3J4XXGj/TSO22016_08_220958_2212801_UP08_Pan4963.gene_level.txt
TSO22016_06_220951_2212770_UP06_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPG0809x08KXXV4XZ7qXYj,https://dl.dnanex.us/F/D/vkkpk2F25p8g222GxZK4Qyp5PyYpYPZ71BBX6pVY/TSO22016_06_220951_2212770_UP06_Pan4963.gene_level.txt
TSO22016_05_220950_2212774_UP05_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPFQj0B4Zk73175Yf33993,https://dl.dnanex.us/F/D/kFQ58Xgz69vYYJxP317Jvj14f8pJ7XJkZQBzBGz5/TSO22016_05_220950_2212774_UP05_Pan4963.gene_level.txt
TSO22016_02_220920_2212318_UP02_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPFPQ0zy0gkzZx4X8VYp2X,https://dl.dnanex.us/F/D/5YZZ1p0BQ26BQQZffX9Vjg7qGVFypyk8k9FB9589/TSO22016_02_220920_2212318_UP02_Pan4963.gene_level.txt
TSO22016_04_220949_2212769_UP04_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPFBj0g0XKgk034VvjB8vb,https://dl.dnanex.us/F/D/FfXx4Xb1fx5vyGP7Pbqf7qxXX12Jjy2v46bF72zZ/TSO22016_04_220949_2212769_UP04_Pan4963.gene_level.txt
TSO22016_03_220925_2212292_UP03_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPF2j05PzBfXQgK0JvvgJ6,https://dl.dnanex.us/F/D/50007gPGPxJ8ZzpvBFQXGJ92kQzYpv07G6XK1jJb/TSO22016_03_220925_2212292_UP03_Pan4963.gene_level.txt
TSO22016_01_220905_2212007_UP01_Pan4963.gene_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPBqj0jjZypKxBG134FVK6,https://dl.dnanex.us/F/D/k0zK8zB1Q9k0K4Px08x5P39J2ZZf42G6ZP1Pzj6X/TSO22016_01_220905_2212007_UP01_Pan4963.gene_level.txt
TSO22016_11_211454_HD200_UP11_Pan4963.exon_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPGyQ0XXvkb6BY66XkG44B,https://dl.dnanex.us/F/D/kPK8Xpky3K8Zqz110pX3k6272xpg1FyzP9F2f4GV/TSO22016_11_211454_HD200_UP11_Pan4963.exon_level.txt
TSO22016_07_220952_2212772_UP07_Pan4963.exon_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPGK80863Y9zzvG1205K2z,https://dl.dnanex.us/F/D/Y5xBzgq690zFX9b7pFjpx7BKy0VGqv7jPvFQK8kg/TSO22016_07_220952_2212772_UP07_Pan4963.exon_level.txt
TSO22016_09_220959_2212802_UP09_Pan4963.exon_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPGFj0Fz5VBYv8K138KpVK,https://dl.dnanex.us/F/D/4FJBGqKqf7KX06477V7X3vb99vgf22yq1kvY9Xb3/TSO22016_09_220959_2212802_UP09_Pan4963.exon_level.txt
TSO22016_10_220960_2212803_UP10_Pan4963.exon_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPG800vFBjKXXV4XZ7qXZ0,https://dl.dnanex.us/F/D/34kVPbj6Q00gYqyf2FQv4153VQ9Bpp0J8XKy8QJ0/TSO22016_10_220960_2212803_UP10_Pan4963.exon_level.txt
TSO22016_08_220958_2212801_UP08_Pan4963.exon_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPG60059px3pJJ4XbjjbQG,https://dl.dnanex.us/F/D/b34BG3FQ9727vkxqb8J7V5Q1x7bx8v1gF04643P1/TSO22016_08_220958_2212801_UP08_Pan4963.exon_level.txt
TSO22016_06_220951_2212770_UP06_Pan4963.exon_level.txt,/coverage,project-G9q4yp00FbxJ1XXKGKXJkjz2,file-G9qPG0009x0Bb4z5Fgq7xqgZ,https://dl.dnanex.us/F/D/P7bYb3BF504B04vQVfq42v87F8Bj82vBZ61bGP83/TSO22016_06_220951_2212770_UP06_Pan4963.exon_level.txt
